,id,language,date,time_length,gender,medium,text_type,text
45,C2015-WRI-3M-007-001,czech,2015-01-25,3,M,writing,narration,"Česká republika patřila původně do České a Slovenské Federativní Republiky, je vnitrozemský stát ve střední Evropě. Kolaps rakousko-uherské monarchie po první světové válce, zřízení Československé republiky 28. října 1918. V lednu 1993 se Česká republika, Slovensko rozdělily, Česká republika stále slaví 28. říjen jako svůj státní svátek. ČR vstoupila do NATO v roce 1999, potom se připojila k EU 1. května 2004, a stala se plnoprávným členem v členských státech Schengenské úmluvy 21. prosince 2007."
46,C2015-WRI-3M-007-002,czech,2015-01-25,3,M,writing,narration,"Její hlavní město Praha, se nachází v centru evropského kontinentu. Rozvinutá městská doprava, je jedním z důležitých evropských dopravních křižovatek, letiště Ruzyně je jedním z nejmodernějších letiště v Evropě. Dlouhá historie a vliv multi-etnických kultur způsobily, že se Praha stala jedním z evropských kulturních středisek. Praha se pyšní architektonickými památkami z různých období a proto se jí říka Zlatá Praha."
47,C2015-WRI-3M-007-003,czech,2015-01-25,3,M,writing,narration,"Trvalý a rychlý ekonomický rozvoj je prioritním cílem současné vlády: hospodářský rozvoj, snižování nezaměstnanosti, boj proti korupci, a důchodový systém a daňové reformy systému. V roce 2008 jako dopad finanční krize se růst české ekonomiky zpomalil. Česko bylo jednou z nejrozvinutější průmyslovou zónou v Rakousku-Uhersku a má stále různorodou a solidní průmyslovou základnu. V současnosti se česká ekonomika soustřeďuje na vývoz na Slovensko, Polsko, Německo, Rakousko a Spojené státy."
48,C2015-WRI-3M-007-004,czech,2015-01-25,3,M,writing,narration,"Parlament jako nejvyšší zákonodárný orgán České republiky. Má dvě komory. Komora reprezentantů má 200 volených na čtyřleté funkční období. Vláda je nejvyšší výkonný orgán odpovědný Poslanecké sněmovně, musí Sněmovna reprezentantů má právo vyjádřit důvěru vládě. V ČR je 65 registrovaných politických stran, ale většina z malého počtu politických stran, volně organizované, mají omezený dopad na domácí politického života."
49,C2015-WRI-3M-008-001,czech,2015-01-25,3,M,writing,narration,"Jmenuji se David, studuji v Chengchi univerzitě a obor psychologie. Protože jsem v druhém ročníku, vybral jsem si češtinu jako můj druhý obor. Existují dva důvody, proč jsem si vybral češtinu jako svůj druhý cizí jazyk. Jednak jsem zjistil, že Česko je taková tajemná země, jejíž kultura a zvyk jsou většinou odlišné od jiných zemí v Asii. Za druhé, osobnosti z českých lidí mě fascinují."
50,C2015-WRI-3M-008-002,czech,2015-01-25,3,M,writing,narration,"Pokud jde o mé vlastnosti, jsem extrovertní a aktivní účast v mnoha aktivitách. Nicméně, Češi jsou skromní a horliví ve svých denních hodnotách. Proto si myslím, že mohu dozvědět více z nich, pokud bych mohl posílit své jazykové schopnosti. Předtím, než jsem se začal učit česky, nebyl jsem obeznámen s českou kulturou. Nicméně, po jednom semestru, jsem postupně pochopil její jazyk a kulturu."
51,C2015-WRI-3M-008-003,czech,2015-01-25,3,M,writing,narration,"A co víc, chtěl bych rozšířit své obzory na české tradice a zvyky. I Česko má také zajímavou kuchyni, hudbu a umění, které mne přitahují. Proto jsem se rozhodl požádat o stipendium a doufám, že bych je mohl absorbovat na místě v jeho jazyce. Pokud budu mít možnost podílet se na letním kurzu od tohoto stipendia, mám dva plány."
52,C2015-WRI-3M-008-004,czech,2015-01-25,3,M,writing,narration,"Za prvé, musím posílit své znalosti češtiny. Vzhledem k nedostatku výukových materiálů na Tchaj-wanu, nemohl jsem se efektivně naučit česky až do morku kostí. Proto jsem si chtějí prohloubit své celkové jazykové schopnosti, které vám mi více šancí poznat místní kulturu. Za druhé, chci navštívit mnoho turistických míst v Česku. Na rozdíl od jiných evropských zemí, Česko bylo kdysi komunistická země, který zanechal svůj vliv hlavně na venkově. S návštěvou mnoha měst v Česku bych mohl  zlepšit své znalosti o ČR."
53,C2015-WRI-3M-008-005,czech,2015-01-25,3,M,writing,narration,"Mám v plánu se učit češtinu dlouhodoběu. I když na Tchajwanu není hodně lidí, kteří se učí česky, já mám o češtinu zájem. Vzhledem k tomu, že gramatika  češtiny je hodně odlišný od toho, co jsem znal z angličtiny, má české případy a různé, ale logické časování u sloves, které nutí k zamyšlení. Navíc, existuje mnoho hovorových frází v češtině. Pouze v případě, že se budu učit česky po určitou dobu, budu moci se jí lépe naučit a ponořit se do ní."
54,C2015-WRI-3M-008-006,czech,2015-01-25,3,M,writing,narration,"Pokud to bude možné, mohl bych také spřátelit se s místními studenty, s nimi jsem mohl podělit o své zkušenosti o mém rodném městě a na Tchaj-wanu. Proto se v průběhu takové výměnu, mohli bychom se naučit mnoho věcí mezi sebou navzájem. Kromě toho bych chtěl studovat v českém jazyce v budoucnu. Jako student v psychologii, jsem touží studovat české lingvistiky."
55,C2015-WRI-3M-008-007,czech,2015-01-25,3,M,writing,narration,"I když můj hlavní je psychologie, jsem také zájem o učení jazyka, který bude lépe mě v dlouhodobém horizontu. Proto, když mám tuto příležitost studovat letní kurz v češtině, nemohl jsem splnit nejen moje současné cíle na učení a prohloubení základních českých schopnosti, ale také připravit cestu pro můje budoucí studium českého jazyka."
56,C2015-WRI-3F-008-001,czech,2015-01-25,3,F,writing,narration,"S výjimkou druhé světové války období, Češi a Slováci sdíleli společný stát mezi lety 1918 a 1992. I když české a slovenské jazyky jsou úzce souvisejí a jsou vzájemně srozumitelné, obě země sdílejí různé kultury a způsoby rozvoje. Slovensko bylo považováno za zemědělský stát pod vedením země, zatímco Česko bylo spíše průmyslový národ."
57,C2015-WRI-3F-008-002,czech,2015-01-25,3,F,writing,narration,Pokojném rozdělení Čechů a Slováků na dva samostatné státy došlo k 1. lednu 1993. To bylo velmi důsledkem obě dvě země mají touhu ukázat svou etnickou identitu politické nezávislosti. V první polovině roku 1990 se  česká ekonomika transformovala z centrálně plánované ekonomiky privatizací k tržní ekonomice.
58,C2015-WRI-3F-008-003,czech,2015-01-25,3,F,writing,narration,"Česká ekonomika je velmi závislá na zahraničním obchodu. Pro základní potřeby, česká společnost je soběstačná, ale dováží ropu a zemní plyn. Česká ekonomika má velký obchodní deficit s Ruskem, dováží hlavně energie a suroviny, ale export relativně málo. Česká republika je dlouhodobě vysoce rozvinutý průmyslový stát. Hlavními odvětvími je výroba strojů, automobilů, chemikálií, textilu, a piva."
59,C2015-WRI-3F-008-004,czech,2015-01-25,3,F,writing,narration,"Mnoho průmyslových podniků prošly restrukturalizací, aby se vyrovnaly podnikům v západní Evropě. Od konce komunistického režimu se politický život opět vyznačuje velkým počtem politických stran. Vzhledem k velkému počtu stran, žádná strana neobdrží většinu, a vláda je tvořena koalicí stran s nejvyšším počtem hlasů. Strany se pohybují od konzervativní, křesťanské demokratické, sociální demokratické, do komunistické."
60,C2015-WRI-3F-008-005,czech,2015-01-25,3,F,writing,narration,"Česká republika je parlamentní demokracií. Prezident je volen na dobu pěti-leté období a nesmí být zvolen více než dvě po sobě jdoucí funkční. Pravděpodobně nejznámější prezident České republiky, Václav Havel, politik, stejně jako dramatik, byl první prezident České republiky (1993). Český národní charakter: mírumilovnost, nenásilí, a možná také přiměřenost chování."
61,C2015-WRI-3F-008-006,czech,2015-01-25,3,F,writing,narration,"Důkaz byl absolutní klid a klid demonstrací, disciplína v kritických obdobích, kdy byly situace řešeny v klidu a bez emocí. Česká národní charakter je určujícím faktorem dalšího politického vývoje. Národní znak se zdá být určen vnějšími vlivy. I když je možné jednotlivé znaky být definován, není možné, vzhledem k jejich rozporné povaze, soudit, které bude stanovení zvláštnost v určitém čase."
62,C2015-WRI-3F-008-007,czech,2015-01-25,3,F,writing,narration,"Sociální interakce se příliš neliší od situace v ostatních středoevropských zemích, a ve srovnání se Spojenými státy je spíše formální. Tato formalita je částečně způsobeno tím, že český jazyk má dvě formy druhé osoby osobního zájmena. ""Familiární"" oslovení se používá k řešení členů rodiny, dobrých přátel, nebo dítěte."
63,C2015-WRI-3F-008-008,czech,2015-01-25,3,F,writing,narration,"Slušná forma oslovení je používána ve více formálních situacích. Není neobvyklé pro kolegy podobného věku používat formální podobu, když spolu mluví. Literatura a umění také hrají důležitou roli v češtině. Od sametové revoluce v roce 1989 si umělci užívají svobodu projevu. Stále více a více umělců se věnují rozvoji české literatury a umění, což ji dodává stále vice na významu."
64,C2015-WRI-3M-006-001,czech,2015-01-26,3,M,writing,narration,"Ahoj, jmenuji se Daniel. Narodil jsem se v roce 1993 a jsem v 1. ročníku oboru diplomacie na Národní Chengchi univerzitě. Jsem otevřený člověk. Také mám rád humor a všechno beru v pohodě, ale na druhé straně jsem rozumný a uvážlivý, např. dokáži poradit svým kamarádům. Ti za mnou často chodí a společně probíráme jejich problémy. Ve svém case, který teď mám, se snažím dosáhnout splnění svých snů."
65,C2015-WRI-3M-006-002,czech,2015-01-26,3,M,writing,narration,"Chci být vlivnou osobou, chci odstranit nerovnost ve společnosti a chci cestovat po celém světě. Moje rodina je moje bohatství. Vždy mne podporují, abych dosáhl svých cílů a abych si stál za svými názory. Moje rodina je shovívavá a otevřená k jiným názorům. Hlavní důvod, proč mně veří je ten, že mne považují za dospělého a vyzrálého člověka, který je schopen dostát svým povinnostem."
