seq,id,date,time_length,gender,medium,text_type,text
5,R2013-SPE-2F-006-004,2013-03-11,2,F,speaking,narration,"Я очень люблю этот фильм, потому что я думаю, сво-свой де-детство я очень люблю фильм дела-делают #Disney#. Это всё."
6,R2013-SPE-2F-007-001,2013-03-11,2,F,speaking,narration,"Этот фильм сказал о другие животные е-едут о-около озера. Сначала мальчик мышь бе-бе- бра-брал зонт. И потом другие животные разговаривал о погода. И потом потом животные едет в едут в пляж. Девочка мышь готовит обед, и другие животные игра-играла играли. Животные мышь плавал плавал в на озере, и друг-другие тоже. И собака встретил краб. И в в два двенадцать в двенадцать они обедали вместе."
6,R2013-SPE-2F-007-002,2013-03-11,2,F,speaking,narration,"Они они ели блю-блюды, они, что они любят. Собака ел колбасу, и и животные ела шоколад. И после обеда они играли, и вдруг прие-, приехал #octopus#. И они увлекали-увлекались своих блюда. И на и наконец, #octopus# в в озере, и всё всё животный всех животные очень радуются. Я очень люблю этот фильм, потому что этот разговаривал о все лю- все люди вместе вместе. Всё"
7,R2013-SPE-2F-008-001,2013-03-11,2,F,speaking,narration,"Это фильме о мышь мышь Микки, Минни и они собака их собака и два коро коровы, да. Это фильме производит фир-фирма #Disney# в Америке, да. В в фильме, кажется, Минни носит в большой юбка, да. Но но она си-сидит на очень большой зонт, да. И они они шли на на море и гулять на море с с их собакой. И потом Микки плывёл в на море, да."
7,R2013-SPE-2F-008-002,2013-03-11,2,F,speaking,narration,"И и Минни готовит обед, положил нож, ложка и так далее, да. И да они игра на море с с их друзья: два коровы. А потом они вернулись и вместе обе-обедали. И после того собакой собака бегал бегал на море. Но что-нибудь живут в мире. Что-нибудь в мире бегаю с бегаю с мирой, и и хотел и хотел хотел бить соба-собака, да."
7,R2013-SPE-2F-008-003,2013-03-11,2,F,speaking,narration,"И они коровы мышь и соба коровы и мышь вместе бить это живо животное с мирой, да. И наконец наконец, они успевают, да. И я думаю, это фильм очень смешной, да. И это короткий фильм. Наверное, семь минут фильм, да. Но я думаю, это да это очень смешной. И в детстве я очень люблю фильмы фильмы производит #Disney#, да."
7,R2013-SPE-2F-008-004,2013-03-11,2,F,speaking,narration,"Я очень час я очень часто смотрела фильм фильмы, да. Но но сейчас такой такие фильмы очень редко очень редко пере-передачи в телевизор. Сейчас в телевизор мы часто смотрим смотрим в передачу о другом фильме, например, японский, да, и другие нового фильмы, да. И поэтому сегодня когда когда я смотрел фильмы как это мне очень. Всё."
8,R2013-SPE-3F-008-001,2013-03-11,3,F,speaking,narration,"Это фильм... В фильме это это как #par-party# на пляже. Это геро-геро-герой в фильме – это Микки Маус и его подруга Минни. Они с по они с друзьями организовали. Они. Сначала они игра в море, они плавали. И иног. Они играли и готовлю готовили блюда на мо на пляже и они кушали вместе. Потом собака героя она она нашла это она нашла что-то в море, и это он очень не рад."
8,R2013-SPE-3F-008-002,2013-03-11,3,F,speaking,narration,"Они. В этом фильме я видел я видела, что это это. Я думаю, что это интересно фильм для де- для детей, может быть, в шко- в школе. Это в фильме очень ясно ясный ясный цвет и интересный интересный. Я думаю, что многие могли понима-понимаешь это. И я думаю, это всё. Всё. Спасибо."
9,R2013-SPE-3F-009-001,2013-03-11,3,F,speaking,narration,"Я только что посмотрела фильм. Я думаю, это фильм #Disney#, и фильм рассказал Микки и его друзья. Они играли на море. Хотя они ничего не с говорили, но музыка фильмы мне очень нравится. Это фильмы это фильм очень интересный и милый. Сначала они играли на пляже, потом в море. Потом они ели банан, хлеб и и я забыла. Что ещё? Потом Микки дал его собаку с-с-с-сел-селки селки нет колбасу колбаса."
9,R2013-SPE-3F-009-002,2013-03-11,3,F,speaking,narration,"Микки бро-бросил колбасу в море, но когда собака хотел хотел иска. И собака встретил, как сказал, #octopus#. Что что ещё? Мне нравятся фильм Дис фильмы #Disney#, потому что они нетрудно понять и и интересные и и. Что что ещё? Сегодня очень жарко. Спасибо. Спасибо."
10,R2013-SPE-3M-010-001,2013-03-11,3,M,speaking,narration,"Микки с друзей ездили в море. Они играли у море. Сначала Минни танцевала с Микки и собаки. Потом Микки с друзей плавали в море. Они тоже играли в море. Потом Минни готовила обеда. Потом они обедали. Микки ел банан, и и собака ела колбаса. И корова ел овощи и апельсиновы. Потом когда собака плавала в море, чёрная рыба яв-являла. У них есть война с чёрной рыбы."
10,R2013-SPE-3M-010-002,2013-03-11,3,M,speaking,narration,"Они победили чёрную рыбу. И они очень у них есть радость. И собака пил кофе. Я думаю, что это фильм очень хороший для дети. И мне очень нравится, потому что мне очень нравятся Микки и Минни. Очень симпатичный фильм. Я хочу смотреть ещё раз."
11,R2013-SPE-4F-008-001,2013-03-11,4,F,speaking,narration,"Это фильм начинает Минни. Она бегает с большим большим юбочка. Кажется, юбочка, но это это зонт. И она бегает около моря. Потом Микки и Минни они они играют с c друш с другами с другами. И кушают около моря. И Минни готовит вещи готовит овощи и фруктами. Когда они играют, её её собака собака бегают мясо."
11,R2013-SPE-4F-008-002,2013-03-11,4,F,speaking,narration,"И и он думает, это мясо, но это я не знаю, как называется это не это не рыба, это такая такая жизнь жить на море. У неё есть восемь ноги. И он чёрный, он хитрый и плохой. Они используют все вещи, но не мо-может не может выиграть у него. Потом он потом он приехал приш-пришёл на море, и все все хорошо. Я думаю, это фильм интересно."
11,R2013-SPE-4F-008-003,2013-03-11,4,F,speaking,narration,"Я не я не я не мне не так нравится #Disney's# фильмы, но это фильм нормально. Да, всё. Я думаю, его друга, один из его дру-друга он талантливый, он может он может использовать фрукты на музыку. Я думаю, он интересный и талантливый. Ещё есть ещё есть. Всё."
12,R2013-SPE-4M-009-001,2013-03-11,4,M,speaking,narration,"Это мультфим это американский мультфильм. И это творчество Уолтра Диснея. Сначала мышка Минни сидела на зоте. И мышка Микки бегал внизу. И они отдыхали они отдыхали на море и играли на пляже. Мышка Минни готовила готовила стол на пляже и мышка Микки плавал на море. А потом и его друзья друзья пришли. Они не могу плавали, поэтому нет нет они не могу они не могу плавать."
12,R2013-SPE-4M-009-002,2013-03-11,4,M,speaking,narration,"А потом мышка Минни звон-звонила, чтобы чтобы они приш- они пришли на обедать. Они много съели съелали. И его друг съелали как съелал как как печатал печатал машиной. А потом собачка Плуто бегал на пляж. И мышка Микки дал ему дал ей колбасу. Но колбаса попал попала на море, поэтому Плуто снача-сначала плавать, но в то же время но оно животное из моря пришёл и ловил ловило собачку."
12,R2013-SPE-4M-009-003,2013-03-11,4,M,speaking,narration,"И собачка избежал избежала, но между мышкой и животным животное животным произошла война. В конце концов, мышка Микки победить победил. Это всё. Да. Я думаю, это мультфильм немножко смешно и очень добрый. Да да всё."
12,R2013-SPE-4M-009-004,2013-03-11,4,M,speaking,narration,"И я думаю, в настоящее время мультфильм в Тайване мультфильмы в Тайване является плохое плохое влияние на дети, потому что сейчас многие мультфильмы у них есть у них есть немножко злой злой слов в мультфильме. И я думаю, что дети можно, может быть, учё-учились при этом, но по-моему мультфильм Уолтра Диснея это больше больше добрый, чем мультфильм настоящее время. Да, всё."
13,R2013-SPE-4M-010-001,2013-03-11,4,M,speaking,narration,"В этом фильме я я видела много ролей, например, собака и корова и Микки и Минни и чёрный мо-моряский животный. Начале начале в этом фильме я видела Микки и Минни очень весёлые и танцевать и танцевали, потому что у них есть у них на пляже и они хотят плавать в моря в море и играть воды играть воду воду. Минни очень сильный, потому что Минни может готовить вкусные блюда и другие ели весело."
13,R2013-SPE-4M-010-002,2013-03-11,4,M,speaking,narration,"Но нако в конец фильме фильма собака в собака пусть черный моряский животный на пляже, и у них у них есть война. Но но Микки, Минни и собака и корова они они побе победа они победали чёрный чёрный чёрный моряский животный. У них есть успех и играть весело. Очень интересно."
13,R2013-SPE-4M-010-003,2013-03-11,4,M,speaking,narration,"Я думаю, в этом фильме му-музы-музыка очень хорошая, поскольку когда роли они они делат блюдо или ели или победать животных, это музыка очень хорошая и я могу смо- я могу не смотреть это фильм по музы- по музыку. Я люблю этот фильм, потому что он да он даёт мне много интересные мысли. По это по этому фильму я тоже я тоже очень весёлый, и думаю, это интересный, очень. Всё."
14,R2013-WRI-4F-003-001,2013-03-11,4,F,writing,narration,"Это популярный американский мультфильм, рассказывающий о повседневной жизни Мики Маусе и его друзьях. В этой серии они были на пляже и много интересного, забавного произошло. Название серии  – ""Вечеринка на пляже (#Beach party# )""."
14,R2013-WRI-4F-003-002,2013-03-11,4,F,writing,narration,"Мики был пионер, который купался в море первым. Корова (или это не женщина. а мужчина – точно не знаю) тоже хотела поплавать, но она боялась воды."
14,R2013-WRI-4F-003-003,2013-03-11,4,F,writing,narration,"Поскольку не смела спокойно плавать без какого-то средства, она отталкивала. К счастью, её друг Мики помог ей с ""воздушным кольцом"", так что она купалась так весело!"
14,R2013-WRI-4F-003-004,2013-03-11,4,F,writing,narration,"Собака случайно встретила краба, от любопытства она следовала за ним. При обружении краб нападал на собаку и она совсем испугалась, затем кружилась очень."
14,R2013-WRI-4F-003-005,2013-03-11,4,F,writing,narration,"Мики и одно животное, видимо это лошадь в фиолетовой одежде – сообщили всем, чтобы они подходили к месту, где они приготовили богатый стол. Пикник начался. Атмосфера была дружная и весёлая. Друзья наслаждались едой столько могли! На ковёре лежали посуда, фрукты, овощи и всякие вкусные блюда. Я увидела и даже позавидовалась, потому что я также проголодалась!"
14,R2013-WRI-4F-003-006,2013-03-11,4,F,writing,narration,"Мики шалил, он бросал ряд колбасы собаке, но колбаса попадал в море. Итак, начилось преключение – собака неожиданно кусила восеминожного животого! Оно такое страшное и злое, что все в тот момент убежали, и, конечно, очень громко кричили."
14,R2013-WRI-4F-003-007,2013-03-11,4,F,writing,narration,"Собака была в руках (или вернее, в ""ногах"") этого огромного существа, другие испуганные немедленно придумали тактики, чтобы спасти их компанию, собаку. Они, если честно, такие умные. Один бросал орех, другой бросал семена арбуза, ещё другой бросал тарелки, четвёртый – что угодно. Было вообще смешно на них смотреть."
14,R2013-WRI-4F-003-008,2013-03-11,4,F,writing,narration,"Я обрадовалась, когда добро победило зло. Хотя я знаю, что у мультика всегда счастливый конец!"
15,R2013-WRI-4F-002-001,2013-03-11,4,F,writing,narration,"Это интересный фильм. В этом фильме разказывает о море. Сначало эти дети шли на море. Они были в осторке. Погода была прекрасная, они хотели там отдыхать и обедать. И их любимая собака тоже шла с ними."
15,R2013-WRI-4F-002-002,2013-03-11,4,F,writing,narration,"Когда они были в море, они плавали, играли, и обедали там. Девушка готовила многие вкусные блюда, и чай. Конечно их собака обедала с ними. Они дали ему хорошое, вкусное мясо. Но случайно оно попал в море. И сабака бежала и плавала, чтобы нашла её мясо. Но она перепутала, мясо и животный, который жил в море."
15,R2013-WRI-4F-002-003,2013-03-11,4,F,writing,narration,"Поэтому началась война между животным и детьми. Дети делали много, чтобы помогать собаке убить животного. На конец, они убили его, и у них есть хороший день. Я думаю, что это фильм очень интересный и хороший для детей. Хотя много из этого фильма я не хорошо понимаю, но считаю, что фильм – не только смотреть, но подумать."
15,R2013-WRI-4F-002-004,2013-03-11,4,F,writing,narration,"Сейчас мы всегда смотрем фильмы, и только уверим в информации, которых нам расказывают. И думаю, что мы должны думать много. Получать информацию из МИС – важно, но знать, что какая информацию правильная – важнее."
15,R2013-WRI-4F-002-005,2013-03-11,4,F,writing,narration,"Имено поэтому, по-моему, мне очень нравится этот фильм, потому, что он не только даёт нам информацию, а даёт нам шанс подумаем."
16,R2013-WRI-4F-001-001,2013-03-11,4,F,writing,narration,"Какая хорошая погода! И ещё хорошее, это выходный день! Работать – не надо и уроков нет. Дамашние задание сделали, а что делаете? Дома сидите, это скучно. Тогда, давай к морю! Там пляж, моря. Можно там плывать, бегать и отдыхать! Эта прекрсная! Решили, друзья собирали, уехали на море с любимой собачкой."
16,R2013-WRI-4F-001-002,2013-03-11,4,F,writing,narration,"Через час или два, они доехали. Ой! Пляж, море! Все так чистие. Белый пляж и голубое небо с голубым морем, как красивый! Но зонт не забывай! Даже солнце хорошо, но слишком много и слишком дольго над ним, будет себя чувствовать плохо! Друзья зонт состаили, вещи ложили, и бегали к воде. Плаватная время! Ура!"
16,R2013-WRI-4F-001-003,2013-03-11,4,F,writing,narration,"Сегодня, вода тёплая. Друзья в воде плывали и плывали. Но к сожалению, собачка воду не любит, и сидила одна на пляже. Медлено к ней шёл краб. Он красный, с большими глазами. Собачка никогда такой животный не видела. Что это? Она удивлялась и хочет его трогать. Ай, ай! Какой страшный животный! Не хочу с ним подружить! Нога и нос у меня, из-за его, сейчас болеют."
16,R2013-WRI-4F-001-004,2013-03-11,4,F,writing,narration,"После плавания, все стали голодно. С собой у них хлеб, кукурузи, чай, кофе и сосиски. Сосиски! Собачка сейчас так весёлая. Это самая любимая еда у неё. Один бросал сосиски, и они упали в воде. Конечно, даже воду не любит, собачка прыгала в воду и их найдёт. Но она нашла не сосиски а восминог, и он очень сердился!"
16,R2013-WRI-4F-001-005,2013-03-11,4,F,writing,narration,"Из-за чего вы меня кусала? Восминог думал. И война между друзьями и восминогом начала. С тарелками, с едой. Они взяли все с ними. И наконец, они победили, и восминог, даже очень сердился, он сейчас вернулся в море, и, дома сидит один."
16,R2013-WRI-4F-001-006,2013-03-11,4,F,writing,narration,"Весёлые друзья думали, это прекрасный день! Может быт, следующий раз война с акулой? Не знают. Но это тоже интересно!"
17,R2013-WRI-3F-004-001,2013-03-11,3,F,writing,narration,"Этот короткой фильм очень интересной, особенно для мальенких детях. В этом фильме рассказ, который играла одна группа друзей. Днём в суббоду очень хорошая погода, они решили отдыхать в море вместе. Они взяли много вкусные еды, например, фрукты, сок, хлеб и так далее. После приехали на море, некоторые плавали, а другие кушали и готовили еда."
17,R2013-WRI-3F-004-002,2013-03-11,3,F,writing,narration,"Их хороший друг собачка играли с ним весело. По удивлению этот собачка встерил опасное ситуация когда он в воде. Потом его друзья делали что-нибудь помогать собачке. К счастью, они успешно помогали ему в конце концов. Они были очень рады и начали отдыхать дальше."
17,R2013-WRI-3F-004-003,2013-03-11,3,F,writing,narration,"Я много смотрела такой фильм с детстве. И я помнила, что мы с братом всегда смотрели телевизор утром об таком виде фильма. Честно говоря, мне очень нравился такие фильмы Так тоже потому что они будут воспомнить меня время, когда мы ещё были мальенкие. Это очень хорошая и интересная время!"
18,R2013-WRI-3F-003-001,2013-03-11,3,F,writing,narration,"Однажды два мыша были на берегу. В этот день была очень хорошая погода. Муж мыша открыл зонтик и его жена сидела на зонтике. Когда они пришли на берег, они встретились с своими друзьями, собака и две коровы (они тоже муж и жена). Они положили их вещи и решили плыть."
18,R2013-WRI-3F-003-002,2013-03-11,3,F,writing,narration,"Мыш и собака они сделали корицо, которое может спасти людей в озере. Они бежали на озера, мыш начинал плыть, но собака чуть чуть боялась воды. Поэтому собака только стояла на берегу. Муж коровы тоже любил плыть, а его жена боялась воды, как собака. Поэтому жена коровы попробовала идти близко от озера, но волна была большая и она стала мокрой."
18,R2013-WRI-3F-003-003,2013-03-11,3,F,writing,narration,"Ей было холодно. В тот же время, когда все играли и в озере и на берегу, жена мыша начинала готовить обед. Она организовала пикник. Когда всё приготовила жена мыша, она сказала всех, что пора пообедать! Все бегали на пикник, там очень много продукт. Мыш и собака съели баннаны, а коровы съели арбусы и овощи."
18,R2013-WRI-3F-003-004,2013-03-11,3,F,writing,narration,"Потом мыш бросал курицу и собака очень быстро бежала и получила эту курицу. А мыш ещё раз бросал калбосу, но он очень сильно бросал, и калбоса упала в озеро. Собака очень хотела есть калбосу, поэтому собака бежала в озеро и хватала что-то длинное, которое похоже на калбосу. Но как жаль, что это не калбасы а октупус! Октупус очень злой и они ссорились друг с другом. Мыши и коровы бросали и тралелки и арбусы на него, но он запрятался за каменей. Но наконец они победели и им было очень весёло."
18,R2013-WRI-3F-003-005,2013-03-11,3,F,writing,narration,"Я думаю, что это фильм симпатичный, интересный и весёлый. У американцев какой-то юмор, который мне очень нравится. По-моему, мыши, коровы и собаки они настоящие друзья. Так как когда появился враг, они помогали друг другу. И я надеваюсь, что в моей жизни есть такой друг."
19,R2013-WRI-3F-002-001,2013-03-11,3,F,writing,narration,"Животные поезжают на море. Женщина-Мышка весело танцует с платьем. Ой! Это нет платье! Она сидит на зонте! Мужчина-Мышка несёт тот большой зонт и танцует. Корово, собака и их друг приходят. Мужчина-Мышка идёт плавать, а женщина-мышка убирает стол. Корово хочет купаться, но думает, что вода ей очень холодно."
19,R2013-WRI-3F-002-002,2013-03-11,3,F,writing,narration,"Собаки не хочется подоходить к море, потому что он боится какого-то животного из моря. Женщина-мышка уже готовит. На поле лежат тарелки, вкусные продукты и разные фрукты. Все бегут к продуктам. Мужчина-мышка беру банан, но собока ест. Мужчина-мышка беру колбосу. Собока подоходит к колбосе. Колбоса лежит и упадёт в море."
19,R2013-WRI-3F-002-003,2013-03-11,3,F,writing,narration,"Собока забыл животного, которого он боится, и бежит в море. Собока нашёл колбосу, но не знал, это не колбосу. Это другое животное, которое живёт в море. Это животное чувствует очень плохо. У него восемь руках, поэтому ему быстро бежать и брать собоку."
19,R2013-WRI-3F-002-004,2013-03-11,3,F,writing,narration,"Две мышки, корово и их друг помогают собоке. На конце, животное с восеми руками вернётся в море. А что собока сейчас делает? Чашка лежит на его голове, собока пьёт какой-то сладкий чай или кофе. Я не знаю."
20,R2013-WRI-2F-004-001,2013-03-11,2,F,writing,narration,"Это хорошая погода. Мики и его подруга Мини шли к мору с своими другами и собакой. Мики и его друг весело плавали вместе. Был сильный мороз в море. но они любят плавать. Собака мика не любит воды. Она села на берегу. А что Мини делала? Она серьёзно приготовил вукусные продукты, например, торты, фрукты, хлеба и другие. Пора им ели. Мики и его друг уже очень голодни."
20,R2013-WRI-2F-004-002,2013-03-11,2,F,writing,narration,"и ходят есть! Собаке нравится банан и ела много. Друг Мика любит шокольные конферты. Когда Мики дал собаке кольбасу, они встретелися с злом октописом. Они богались но ещё славые. Наконец, это злой роль перешёл к мору. Они смеялись и соверщали его вкуфные продукты. Это ещё неплохой день."
20,R2013-WRI-2F-004-003,2013-03-11,2,F,writing,narration,"Я думала, что у этого фильм не диалога. очень скучный. я часто хотела спать когда смотрела его. Диалоги, это очень важные. Мне нравятся Мики и Мини. Если я могла знать что они думали и что они говорить. Я думала что это фильм может был успехом."
21,R2013-WRI-2F-003-001,2013-03-11,2,F,writing,narration,"Сегодня хорошая погода. Мики, Мини, собака и их друзья пошли на юг на море.  Они хотят отдыхать на море на каникулы. Они чуствовал растые и смеялся. Мики и Мини готовили большой зонт, потому что соньце большое. Их друга хотел #б_____#. Он бегал и #_____# на море, но вода шёлкая. Мики играл на море и он видел его подруга боеелась воды и чуствовала холодная."
21,R2013-WRI-2F-003-002,2013-03-11,2,F,writing,narration,"Он помогал ей и все мочь играть. Мини готовила обед на берегу. Она готовила фрукты, бутерборги, кофе, кукуруза, кобаса, и печь запуски. Когда она поготовила всё блюда, она говорила что пола обедать. Они очень любили всё блюда."
21,R2013-WRI-2F-003-003,2013-03-11,2,F,writing,narration,"Кобаса, эта сомое любимое блюдо собаки. Когда она хотела найти её кобаса, она бегала в воду. Вкруг один #_____# подшёл к ей. Друзья вместе #_____# его. И всё в порядке."
22,R2013-WRI-2F-002-001,2013-03-11,2,F,writing,narration,"Этот фильм очень интересный. Музыка фильма тоже интересная и активная. Это фильм о амереканской драме ""Мики"" на море. Мики, его друг и два подруги идут на море. Сначала Мики и его подруга танцуют на море с зонтом. Потом  его друг смотрит его подругу и думает, какая красивая девочка. Мики, друг и другая подруга плавут на море, и подруга готовит обед около моря."
22,R2013-WRI-2F-002-002,2013-03-11,2,F,writing,narration,"Банан, колбаса и мелон на обед. Когда она готовила обед, Мики, его други и его собака бегают к ей. У них есть хороший обед. Мики #_____# колбасу на море и собака бегает. Когда собака бегает к им, животное моря тоже бегает к им. Они спорят с животным моря с посудой. Я думаю этот самый интересный в фильме. Победа? Победа за Мики и его другой."
23,R2013-WRI-1F-003-001,2013-03-11,1,F,writing,narration,"Вчера было хорошая погода. Друзья и их собака были на море. Юноши играли, а девушки готовили обед. Пора обедать. Они если хлеб, бананасы, кабасу и овощи. Это очень вкусный обед. Собака была в море, потому что её кабасу была в море. Она найтила сабасу и хотела есть её. Ой, это не кабаса, а как-то живоное жил в море. Потом они #_____#. Друзья сабаки помагали ему."
23,R2013-WRI-1F-003-002,2013-03-11,1,F,writing,narration,Это ужасный но интересный. Они привели хорошое время. Это интересный фильм. Я смеюсь всё время. Я люблю смотреть фильм.
24,R2013-WRI-1F-002-001,2013-03-11,1,F,writing,narration,"Саша, Игрь, Анна, Антон и его собака идут на экскурсию на море утром. Анна и Антон тацуют и играют зонт. Они все весело играют на море."
24,R2013-WRI-1F-002-002,2013-03-11,1,F,writing,narration,"Днём Анна готовит обеда. Там брыны, бананы, другие фрукты и чай. У них есть тарелки,ложки и вилки. А собака Дружок? Антон дст мясо его, потом Дружок берёт и ест мясо. Что-то вещи стоит в море, собака берёт их. К сошажение, Дружок не ест вещи, а наги животна. Это животные очень не весёлый. Он кончит берить собака, они все берут."
24,R2013-WRI-1F-002-003,2013-03-11,1,F,writing,narration,"На кончил, они бьят это животные. Они очень весело, и они победа."
24,R2013-WRI-1F-002-004,2013-03-11,1,F,writing,narration,"Я думаю этот фильм очень интересно,поэтому я смотрю этот фильм весело."
25,R2013-WRI-1F-001-001,2013-03-11,1,F,writing,narration,"Утром, они идут на берегу. Девушка носит зелёную юбку и танцивает с удовольствием. Её собаки гуляют и играют в бол в красивом море, потому что сегодня хорошая погода и очень жарко. Когда девушка готовит продукты, мальчик положит вилки и ножи. Здесь рызные морты и соки. Они отдыхают и едят продукты на берегую."
25,R2013-WRI-1F-001-002,2013-03-11,1,F,writing,narration,"Потом собака хочет брать мясо, что в море, но она брать чёрный зверь. У этого зверя болит нога, поэтому он болит собаку. Девушка и мольчик видят этого зверя и они болит он."
